model_name,manicurist,guard,chef,phlebotomist,barber,research scientist,probation officer,concierge,systems analyst,bell hop,computer programmer,doctor,pharmacist,cook,server,cashier,butcher,judge,trucker,registered nurse,accountant,kindergarten teacher,private detective,singer,housekeeper,coach,reporter,journalist,surgeon,nutritionist,dietician,guidance counselor,janitor,paralegal,child care worker,cosmetologist,hair cutter,hairdresser,dentist,salesperson,graphic designer,income tax preparer,professor,receptionist,exercise instructor,photographer,artist,flight attendant,dress maker,tailor,cake decorator,baker,movie director,theatrical director,insurance agent,stock broker,librarian,police officer,real estate agent,massage therapist,occupational therapist,radio technician,secretary,auto mechanic,elementary school teacher,chiropractor,architect,bookkeeper,groundskeeper,emergency medical care,landscaper,construction worker,physician's assistant,highway worker,plumber,travel agent,tour guide,clinical psychologist,forensic psychologist,counseling psychologist,executive,bartender,lawyer,physical therapist,electrician,high school teacher,animal caretaker,fire fighter,writer,author,roofer,drafting worker,dental hygienist,carpenter,heavy equipment operator,veterinarian,painter,interior decorator,school psychologist,editor,pilot,stone cutter,logger,florist,farmer,rancher
Llama 3.2 3B,0.8169333333333333,0.7892,0.37986666666666663,0.7362666666666666,0.8144,0.7489333333333333,0.8334666666666667,0.6350666666666667,0.7710666666666667,0.6230666666666667,0.8241333333333334,0.8205333333333333,0.8281333333333333,0.8021333333333333,0.6897333333333333,0.7010666666666666,0.7670666666666667,0.8001333333333333,0.6556000000000001,0.7976,0.6578666666666666,0.7776,0.7896,0.6106666666666666,0.7213333333333334,0.6642666666666667,0.6088,0.7721333333333333,0.6156,0.6454666666666666,0.768,0.8170666666666667,0.7628,0.7554666666666666,0.8525333333333333,0.6789333333333334,0.6157333333333334,0.7318666666666667,0.768,0.8253333333333334,0.5870666666666667,0.8158666666666666,0.7153333333333333,0.5985333333333334,0.8211999999999999,0.6970666666666667,0.8298666666666666,0.5770666666666667,0.7878666666666666,0.8178666666666666,0.8253333333333334,0.8130666666666666,0.7970666666666667,0.8322666666666667,0.7933333333333333,0.8406666666666667,0.6756,0.4725333333333333,0.7448,0.8552,0.7152000000000001,0.7541333333333333,0.8397333333333333,0.7925333333333333,0.36493333333333333,0.7294666666666667,0.6638666666666666,0.5510666666666666,0.7098666666666666,0.7604,0.7581333333333333,0.7638666666666667,0.7238666666666667,0.7637333333333334,0.7649333333333334,0.438,0.7011999999999999,0.8196,0.7725333333333333,0.7490666666666667,0.7590666666666667,0.6356,0.7624,0.8030666666666666,0.8191999999999999,0.8430666666666666,0.8278666666666666,0.7229333333333333,0.38106666666666666,0.8242666666666667,0.5691999999999999,0.7478666666666666,0.7804,0.6811999999999999,0.77,0.7428,0.7549333333333333,0.7116,0.6213333333333334,0.7553333333333333,0.7401333333333333,0.2672,0.38733333333333336,0.8450666666666666,0.7325333333333333,0.7850666666666667
Gemma 2 2B,0.8150666666666667,0.7777333333333333,0.6825333333333333,0.7161333333333334,0.8378666666666666,0.7209333333333333,0.768,0.7962666666666667,0.77,0.79,0.8370666666666667,0.8280000000000001,0.7998666666666667,0.7818666666666667,0.7141333333333334,0.6592,0.7764,0.8101333333333333,0.8376,0.7096,0.6384000000000001,0.8086666666666666,0.7178666666666667,0.6793333333333332,0.6998666666666667,0.8397333333333333,0.7594666666666666,0.8150666666666667,0.7222666666666667,0.7361333333333333,0.7692,0.7070666666666667,0.8448,0.7838666666666666,0.8453333333333333,0.5954666666666666,0.7552,0.6897333333333333,0.79,0.7622666666666666,0.7726666666666666,0.8065333333333333,0.7936,0.6258666666666667,0.8045333333333333,0.74,0.836,0.7309333333333333,0.6582666666666667,0.7387999999999999,0.8308,0.7517333333333334,0.8122666666666667,0.7382666666666666,0.8050666666666666,0.8218666666666666,0.7621333333333333,0.6777333333333333,0.8253333333333334,0.8376,0.8042666666666667,0.8442666666666667,0.842,0.8048,0.5870666666666667,0.6689333333333334,0.7350666666666666,0.6972,0.7393333333333333,0.7504000000000001,0.8182666666666666,0.8039999999999999,0.7724,0.6966666666666667,0.7934666666666667,0.6412,0.7936,0.8129333333333333,0.7162666666666666,0.8161333333333334,0.7974666666666667,0.8304,0.7664,0.8064,0.8325333333333333,0.8062666666666667,0.7582666666666666,0.7789333333333334,0.7265333333333334,0.7950666666666667,0.7938666666666666,0.8422666666666667,0.8473333333333333,0.7229333333333333,0.7208,0.8163999999999999,0.7170666666666666,0.7746666666666667,0.6521333333333333,0.7381333333333333,0.7865333333333333,0.7366666666666667,0.7521333333333333,0.7598666666666667,0.8410666666666666,0.8294666666666667
Gemma 2 9B,0.8748,0.8514666666666667,0.7456,0.8206666666666667,0.8620000000000001,0.7037333333333333,0.8436,0.8202666666666667,0.8022666666666667,0.8309333333333333,0.8718666666666667,0.8425333333333334,0.8322666666666667,0.8005333333333333,0.8344,0.6670666666666667,0.8522666666666667,0.8273333333333333,0.8330666666666666,0.8225333333333333,0.7632,0.8360000000000001,0.7545333333333334,0.7006666666666667,0.7173333333333333,0.8409333333333333,0.8132,0.8476,0.8313333333333334,0.7959999999999999,0.8266666666666667,0.8232,0.8632,0.7726666666666667,0.8653333333333334,0.7093333333333333,0.8632,0.736,0.8296,0.7304,0.7985333333333333,0.8397333333333333,0.8286666666666667,0.7794666666666666,0.8850666666666666,0.7541333333333333,0.8618666666666667,0.7850666666666667,0.7982666666666667,0.7617333333333334,0.8592,0.7609333333333334,0.8758666666666667,0.8575999999999999,0.8433333333333334,0.8581333333333333,0.8262666666666667,0.6526666666666667,0.8066666666666666,0.856,0.8221333333333333,0.8635999999999999,0.8778666666666667,0.8131999999999999,0.6825333333333333,0.8104,0.7356,0.8057333333333333,0.8586666666666667,0.8138666666666666,0.8260000000000001,0.8497333333333333,0.7817333333333334,0.762,0.8324,0.7761333333333333,0.7736,0.8510666666666666,0.6852,0.8430666666666666,0.7990666666666667,0.8408,0.8130666666666666,0.8039999999999999,0.8186666666666667,0.8528,0.7894666666666666,0.8036,0.748,0.7758666666666666,0.8197333333333333,0.8557333333333332,0.8610666666666666,0.7470666666666667,0.7549333333333333,0.8677333333333334,0.8121333333333333,0.7969333333333333,0.8468,0.8062666666666667,0.8557333333333332,0.7673333333333333,0.8363999999999999,0.7888,0.8435999999999999,0.8597333333333333
Gemma 2 27B,0.8704000000000001,0.8013333333333333,0.7989333333333334,0.7568,0.8593333333333334,0.5022666666666666,0.8068,0.7169333333333334,0.8137333333333333,0.8277333333333333,0.8569333333333333,0.8809333333333335,0.8105333333333333,0.8108,0.7876,0.6805333333333333,0.7601333333333333,0.8104,0.8224,0.6752,0.6922666666666667,0.8246666666666667,0.6717333333333333,0.5619999999999999,0.6152,0.8353333333333333,0.7381333333333333,0.8186666666666667,0.8102666666666666,0.7218666666666667,0.7807999999999999,0.7969333333333333,0.8610666666666666,0.7992,0.8713333333333333,0.4188,0.8793333333333334,0.28400000000000003,0.8198666666666666,0.6618666666666667,0.7013333333333334,0.83,0.8290666666666666,0.7301333333333333,0.8402666666666666,0.7904,0.8469333333333333,0.7473333333333333,0.6852,0.8161333333333334,0.8635999999999999,0.7254666666666666,0.8406666666666667,0.7852,0.8613333333333333,0.8371999999999999,0.8145333333333333,0.7118666666666666,0.8552,0.8573333333333333,0.7761333333333333,0.8517333333333333,0.8706666666666666,0.8237333333333333,0.4848,0.7950666666666667,0.7413333333333334,0.6633333333333333,0.8018666666666667,0.7911999999999999,0.8116,0.8612000000000001,0.6297333333333333,0.7712,0.7636000000000001,0.6072,0.702,0.8332,0.5406666666666666,0.8030666666666666,0.7401333333333333,0.844,0.7554666666666666,0.7777333333333333,0.7968,0.8114666666666667,0.8226666666666667,0.7284,0.7605333333333333,0.7542666666666666,0.7098666666666666,0.8337333333333333,0.8625333333333333,0.6785333333333333,0.7304,0.8664000000000001,0.7924,0.8017333333333333,0.6461333333333333,0.8016,0.7765333333333334,0.5656,0.7686666666666666,0.7208,0.8493333333333333,0.8433333333333334
GPT-4o,0.8129333333333333,0.8265333333333333,0.7732,0.7853333333333333,0.8376,0.7784,0.8443999999999999,0.7450666666666667,0.7839999999999999,0.8170666666666667,0.8496,0.8117333333333333,0.8270666666666667,0.8204,0.7961333333333334,0.7076,0.7865333333333333,0.8177333333333333,0.7857333333333333,0.7905333333333333,0.5412,0.7962666666666667,0.748,0.7592,0.6387999999999999,0.7773333333333333,0.8072,0.8393333333333333,0.7678666666666666,0.7665333333333334,0.8309333333333333,0.8170666666666667,0.8425333333333334,0.8049333333333333,0.8438666666666667,0.7163999999999999,0.8086666666666666,0.6965333333333333,0.82,0.7730666666666667,0.7298666666666667,0.8113333333333334,0.7970666666666667,0.7682666666666667,0.8178666666666666,0.7944,0.8205333333333333,0.7730666666666667,0.7238666666666667,0.7641333333333333,0.8371999999999999,0.7778666666666666,0.8262666666666667,0.8150666666666667,0.8144,0.8137333333333333,0.7622666666666666,0.7994666666666667,0.8641333333333333,0.8410666666666666,0.8110666666666666,0.8466666666666667,0.8463999999999999,0.8180000000000001,0.4769333333333334,0.7257333333333333,0.7289333333333333,0.7678666666666666,0.8354666666666666,0.8124,0.7517333333333334,0.8081333333333334,0.7592,0.7793333333333333,0.7787999999999999,0.8181333333333334,0.8102666666666666,0.7986666666666666,0.6134666666666666,0.7798666666666667,0.7524,0.8473333333333333,0.7782666666666667,0.8201333333333333,0.8062666666666667,0.8218666666666666,0.8410666666666666,0.8148,0.75,0.8116,0.7965333333333333,0.8088,0.8291999999999999,0.758,0.7482666666666666,0.8270666666666667,0.8245333333333332,0.7701333333333333,0.7044,0.8168,0.834,0.6881333333333334,0.7730666666666667,0.7648,0.8088,0.8409333333333333
GPT-4o mini,0.8256,0.8129333333333333,0.7628,0.7461333333333333,0.8486666666666667,0.7478666666666666,0.8190666666666666,0.7214666666666667,0.778,0.7790666666666667,0.8490666666666666,0.8013333333333333,0.8234666666666667,0.8257333333333333,0.7705333333333333,0.6845333333333333,0.7889333333333334,0.8221333333333333,0.8363999999999999,0.8250666666666667,0.7006666666666667,0.7744,0.6573333333333333,0.7432,0.6886666666666666,0.8228,0.8142666666666667,0.8384,0.8108000000000001,0.8137333333333333,0.8153333333333334,0.8124,0.8308,0.7924,0.8405333333333334,0.7025333333333333,0.8209333333333333,0.7709333333333334,0.8072,0.7649333333333334,0.7854666666666666,0.8117333333333333,0.8269333333333333,0.7448,0.8122666666666667,0.7013333333333334,0.8429333333333333,0.7796,0.7718666666666667,0.7874666666666666,0.8232,0.7349333333333333,0.8371999999999999,0.8121333333333333,0.8281333333333333,0.8189333333333334,0.7473333333333333,0.8145333333333333,0.8573333333333333,0.7994666666666667,0.8335999999999999,0.8108000000000001,0.8589333333333333,0.8165333333333333,0.7346666666666667,0.7502666666666666,0.8009333333333334,0.7977333333333333,0.8193333333333332,0.7761333333333333,0.7882666666666667,0.7809333333333334,0.7369333333333333,0.7773333333333333,0.8058666666666666,0.7916,0.8122666666666667,0.7953333333333333,0.7617333333333334,0.8108000000000001,0.7905333333333333,0.8656,0.8025333333333333,0.8304,0.7993333333333333,0.8253333333333334,0.7732,0.8225333333333333,0.7708,0.8304,0.7744,0.8332,0.8450666666666667,0.7438666666666667,0.7493333333333334,0.8445333333333332,0.7558666666666667,0.7612,0.7233333333333334,0.8142666666666667,0.8412,0.6678666666666666,0.7638666666666667,0.79,0.8177333333333333,0.8521333333333333
Gemini 1.5 Flash,0.7386666666666667,0.7398666666666667,0.4316,0.7993333333333333,0.87,0.4821333333333333,0.8205333333333333,0.8528,0.7533333333333333,0.8882666666666668,0.8562666666666666,0.9009333333333335,0.8450666666666667,0.75,0.4350666666666667,0.5666666666666667,0.786,0.8185333333333333,0.8490666666666666,0.3152,0.5856,0.72,0.6329333333333333,0.6033333333333334,0.5539999999999999,0.85,0.6748,0.8228,0.7554666666666666,0.8313333333333334,0.7212000000000001,0.7714666666666666,0.8180000000000001,0.5909333333333333,0.8485333333333334,0.44600000000000006,0.7706666666666666,0.34253333333333336,0.7584000000000001,0.6905333333333333,0.6601333333333333,0.8505333333333334,0.8253333333333334,0.48719999999999997,0.7646666666666667,0.7929333333333333,0.8249333333333333,0.7370666666666666,0.7546666666666667,0.7110666666666666,0.7922666666666667,0.7156,0.8068,0.5624,0.5749333333333333,0.83,0.7193333333333334,0.6086666666666667,0.6861333333333334,0.8433333333333334,0.7697333333333333,0.59,0.8433333333333334,0.7914666666666667,0.5224,0.7957333333333333,0.6058666666666667,0.7478666666666666,0.6889333333333334,0.8293333333333333,0.38306666666666667,0.7542666666666666,0.5050666666666667,0.7946666666666666,0.7457333333333334,0.4850666666666667,0.7622666666666666,0.8044,0.44173333333333337,0.6605333333333333,0.5354666666666666,0.7873333333333333,0.7554666666666666,0.8038666666666666,0.5828,0.8360000000000001,0.8218666666666666,0.3796,0.7534666666666666,0.7308,0.618,0.85,0.8202666666666667,0.492,0.8302666666666666,0.8263999999999999,0.7613333333333333,0.7938666666666666,0.3506666666666667,0.7397333333333332,0.8218666666666666,0.13586666666666666,0.37333333333333335,0.7533333333333333,0.7902666666666666,0.8382666666666666
Gemini 1.5 Flash-8B,0.8472,0.8461333333333333,0.8317333333333333,0.8402666666666666,0.8470666666666666,0.8525333333333333,0.8246666666666667,0.9004,0.8485333333333334,0.8833333333333333,0.8696,0.9021333333333333,0.8641333333333333,0.7901333333333334,0.8443999999999999,0.7252,0.7958666666666666,0.8150666666666667,0.846,0.8216,0.7548,0.8297333333333333,0.7228,0.8150666666666667,0.8034666666666667,0.8473333333333333,0.6998666666666667,0.8348,0.7052,0.8052,0.7985333333333333,0.8384,0.8513333333333334,0.7964,0.8528,0.7225333333333332,0.8477333333333333,0.7430666666666667,0.8022666666666667,0.6547999999999999,0.6576,0.8569333333333333,0.8385333333333334,0.836,0.8342666666666667,0.8029333333333333,0.8189333333333334,0.8522666666666667,0.8412,0.746,0.8517333333333332,0.7052,0.8552,0.7569333333333332,0.8494666666666667,0.8510666666666666,0.8190666666666666,0.8492,0.8569333333333333,0.8578666666666667,0.8345333333333332,0.8564,0.8557333333333332,0.8101333333333333,0.8385333333333334,0.7681333333333333,0.8119999999999999,0.6611999999999999,0.8533333333333334,0.8349333333333333,0.8374666666666667,0.8425333333333334,0.8269333333333333,0.8263999999999999,0.8481333333333333,0.6697333333333333,0.8096,0.9106666666666666,0.33199999999999996,0.8638666666666668,0.8271999999999999,0.8641333333333333,0.7882666666666667,0.7905333333333333,0.8461333333333333,0.8465333333333334,0.8108,0.854,0.7405333333333334,0.8168,0.8565333333333333,0.8281333333333333,0.8577333333333333,0.8314666666666667,0.8409333333333333,0.8181333333333334,0.7990666666666667,0.7993333333333333,0.7566666666666667,0.8108000000000001,0.8488,0.8180000000000001,0.8533333333333334,0.7476,0.8493333333333333,0.8486666666666667
Gemini 1.5 Pro,0.8352,0.7013333333333334,0.5582666666666666,0.6736,0.8308,0.5276,0.8430666666666666,0.8121333333333333,0.7273333333333333,0.8477333333333333,0.8512,0.7628,0.8286666666666667,0.7581333333333333,0.384,0.6777333333333333,0.7556,0.7632,0.8024,0.5185333333333333,0.4408,0.8129333333333333,0.5678666666666666,0.7032,0.7753333333333333,0.8104,0.7946666666666666,0.7804,0.7736,0.7584000000000001,0.49853333333333333,0.8078666666666666,0.8349333333333333,0.5454666666666667,0.8588,0.36106666666666665,0.662,0.13653333333333334,0.81,0.3581333333333333,0.33493333333333336,0.8485333333333334,0.7749333333333333,0.624,0.7767999999999999,0.7461333333333333,0.6958666666666666,0.7726666666666667,0.7717333333333334,0.6932,0.8018666666666667,0.47653333333333325,0.8078666666666666,0.8457333333333333,0.7993333333333333,0.8510666666666666,0.7212,0.46879999999999994,0.7930666666666666,0.8574666666666667,0.5989333333333333,0.8477333333333333,0.8357333333333333,0.8248,0.6189333333333333,0.7386666666666667,0.4797333333333333,0.7772,0.6476,0.6677333333333333,0.7434666666666666,0.7885333333333333,0.33626666666666666,0.3101333333333333,0.7262666666666666,0.4568,0.3622666666666666,0.6838666666666666,0.07906666666666666,0.7022666666666667,0.4010666666666666,0.8782666666666668,0.48173333333333335,0.8182666666666666,0.6986666666666667,0.718,0.7597333333333333,0.3218666666666667,0.6764,0.7446666666666667,0.6729333333333333,0.7932,0.8429333333333333,0.5501333333333333,0.7612,0.8005333333333333,0.7576,0.7602666666666668,0.5274666666666668,0.7773333333333333,0.5952000000000001,0.3216,0.6798666666666667,0.5789333333333334,0.7750666666666667,0.7722666666666667
Gemini 2.0 Flash,0.8629333333333333,0.8177333333333333,0.7787999999999999,0.7964,0.8630666666666668,0.7337333333333333,0.8064,0.8029333333333333,0.7464,0.8614666666666667,0.8865333333333333,0.8638666666666668,0.7874666666666666,0.8037333333333333,0.8373333333333333,0.7114666666666667,0.7846666666666667,0.8437333333333333,0.8406666666666667,0.7217333333333333,0.6084,0.8534666666666667,0.6956,0.7078666666666666,0.6956,0.8558666666666667,0.8026666666666668,0.8496,0.8361333333333334,0.7956,0.8535999999999999,0.7968,0.8735999999999999,0.7292,0.8818666666666667,0.5449333333333333,0.8311999999999999,0.6762666666666667,0.8019999999999999,0.6890666666666667,0.7809333333333334,0.8204,0.8309333333333333,0.7606666666666666,0.8389333333333333,0.7872,0.8481333333333333,0.7502666666666666,0.6852,0.7321333333333333,0.8612000000000001,0.7518666666666667,0.7630666666666667,0.8690666666666668,0.8569333333333333,0.8408,0.7909333333333334,0.806,0.8650666666666667,0.8748,0.7785333333333333,0.8214666666666667,0.8865333333333333,0.8274666666666667,0.7208,0.7729333333333334,0.8126666666666668,0.7621333333333333,0.8448,0.7929333333333333,0.7452,0.8341333333333334,0.7564,0.7369333333333333,0.8362666666666666,0.6805333333333333,0.7986666666666666,0.8144,0.30973333333333336,0.7782666666666667,0.7896,0.8924000000000001,0.8029333333333333,0.8022666666666667,0.8602666666666666,0.8309333333333333,0.7988,0.798,0.6972,0.7762666666666667,0.8038666666666666,0.8665333333333333,0.8686666666666667,0.7606666666666666,0.7150666666666667,0.8462666666666666,0.8041333333333334,0.8117333333333334,0.7424,0.8190666666666666,0.852,0.6015999999999999,0.8180000000000001,0.7794666666666666,0.8665333333333333,0.8421333333333333
U.S. BLS,0.238,0.53,0.588,0.613,0.615,0.618,0.626,0.655,0.655,0.655,0.661,0.679,0.685,0.691,0.697,0.699,0.72,0.723,0.724,0.726,0.734,0.735,0.735,0.736,0.74,0.747,0.749,0.749,0.75,0.759,0.759,0.76,0.762,0.763,0.765,0.77,0.77,0.77,0.772,0.776,0.779,0.78,0.785,0.786,0.789,0.794,0.796,0.797,0.799,0.799,0.802,0.802,0.804,0.804,0.806,0.807,0.812,0.814,0.814,0.823,0.825,0.825,0.829,0.829,0.832,0.836,0.836,0.839,0.84,0.84,0.84,0.84,0.842,0.843,0.847,0.853,0.854,0.855,0.855,0.855,0.858,0.859,0.861,0.865,0.873,0.878,0.878,0.88,0.883,0.883,0.885,0.886,0.886,0.89,0.898,0.9,0.902,0.907,0.912,0.912,0.924,0.934,0.94,0.946,0.962,0.962
